Date,Run_Start,Run_End,Source,Lite_Month,Lite_Quarter,Lite_Year,Pro_Month,Pro_Quarter,Pro_Year,Max_Month,Max_Quarter,Max_Year,Lite_Month_Status,Lite_Quarter_Status,Lite_Year_Status,Pro_Month_Status,Pro_Quarter_Status,Pro_Year_Status,Max_Month_Status,Max_Quarter_Status,Max_Year_Status,Notes
2026-05-24,09:59:50,13:46:53,https://bigmodel.cn/glm-coding,,,,,,,,,,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,started_after_window
2026-05-25,09:59:50,14:10:00,https://bigmodel.cn/glm-coding,,,,,,,,,,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,started_after_window
2026-05-26,09:59:50,11:10:54,https://bigmodel.cn/glm-coding,,,,,,,,,,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,started_after_window;api_busy;api_attempts=117;api_busy_count=66;first_api_busy=11:07:55.477;first_api_success=11:07:53.125;api_poll_interval=0.5s
2026-05-27,09:59:50,14:10:50,https://bigmodel.cn/glm-coding,,,,,,,,,,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,manual_override_all_sold_out;biased_observations_removed;started_after_window;authenticated_page_status;api_busy;api_attempts=33;api_busy_count=14;first_api_busy=14:08:21.093;first_api_success=14:07:44.215;api_poll_interval=0.5s;page_attempts=10;page_batches=10;page_source=authenticated_page;first_page_success=14:08:18.893
2026-05-28,09:59:50,13:14:48,https://bigmodel.cn/glm-coding,,,,,,,,,,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,all_sold_out;same_batch_times_removed;page_prewarm_enabled_for_future;observed_window=10:06:24.484~10:06:38.701
2026-05-29,09:59:50,11:00:06,https://bigmodel.cn/glm-coding,10:09:17.507,10:03:42.000,10:03:42.000,10:09:17.507,10:03:42.000,10:03:42.000,10:09:17.507,10:06:26.253,10:06:26.253,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,page_prewarmed;api_busy;authenticated_page_status;api_attempts=475;api_busy_count=438;first_api_busy=10:00:02.537;first_api_success=10:09:17.507;api_poll_interval=0.5s;Lite_Month_sold_between=10:08:13.290~10:09:17.507;Lite_Quarter_sold_between=10:03:36.663~10:03:42.000;Lite_Year_sold_between=10:03:36.663~10:03:42.000;Max_Month_sold_between=10:08:13.290~10:09:17.507;Max_Quarter_sold_between=10:06:20.117~10:06:26.253;Max_Year_sold_between=10:06:20.117~10:06:26.253;Pro_Month_sold_between=10:08:13.290~10:09:17.507;Pro_Quarter_sold_between=10:03:36.663~10:03:42.000;Pro_Year_sold_between=10:03:36.663~10:03:42.000;page_attempts=475;page_batches=475;page_source=authenticated_page;first_page_success=10:00:10.406
2026-05-30,09:59:50,11:00:06,https://bigmodel.cn/glm-coding,10:01:47.171,10:01:47.171,10:01:47.171,10:02:27.547,10:02:27.547,10:02:27.547,10:05:59.191,10:05:59.191,10:05:59.191,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,"page_prewarmed;parallel_duration_pages;page_async_poller;api_busy;authenticated_page_status;page_month_error:Locator.click: Timeout 10000ms exceeded. Call log: - waiting for locator("".switch-tab-item"").filter(;page_year_error:Locator.click: Timeout 10000ms exceeded. Call log: - waiting for locator("".switch-tab-item"").filter(;page_quarter_error:Locator.click: Timeout 10000ms exceeded. Call log: - waiting for locator("".switch-tab-item"").filter(;api_attempts=2107;api_busy_count=1324;first_api_busy=10:00:18.116;first_api_success=10:00:38.317;api_poll_interval=0.5s;Lite_Month_sold_between=10:00:38.317~10:01:47.171;Lite_Quarter_sold_between=10:01:25.753~10:01:47.171;Lite_Year_sold_between=10:01:25.753~10:01:47.171;Max_Month_sold_between=10:05:21.974~10:05:59.191;Max_Quarter_sold_between=10:05:21.974~10:05:59.191;Max_Year_sold_between=10:05:45.638~10:05:59.191;Pro_Month_sold_between=10:02:08.896~10:02:27.547;Pro_Quarter_sold_between=10:01:59.411~10:02:27.547;Pro_Year_sold_between=10:01:47.171~10:02:27.547;page_attempts=388;page_batches=163;page_source=authenticated_page;first_page_success=10:00:36.657"
2026-05-31,09:59:50,11:00:01,https://bigmodel.cn/glm-coding,10:01:45.121,10:01:45.121,10:01:45.121,10:02:28.868,10:02:28.868,10:02:28.868,10:06:45.097,10:06:45.097,10:06:45.097,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,"page_prewarmed;parallel_duration_pages;page_async_poller;api_busy;authenticated_page_status;page_year_error:Locator.click: Timeout 10000ms exceeded. Call log: - waiting for locator("".switch-tab-item"").filter(;page_month_error:Locator.click: Timeout 10000ms exceeded. Call log: - waiting for locator("".switch-tab-item"").filter(;page_quarter_error:Locator.click: Timeout 10000ms exceeded. Call log: - waiting for locator("".switch-tab-item"").filter(;api_attempts=2240;api_busy_count=1390;first_api_busy=10:00:16.262;first_api_success=10:00:27.888;api_poll_interval=0.5s;Lite_Month_sold_between=10:01:25.377~10:01:45.121;Lite_Quarter_sold_between=10:01:40.616~10:01:45.121;Lite_Year_sold_between=10:01:08.632~10:01:45.121;Max_Month_sold_between=10:06:32.548~10:06:45.097;Max_Quarter_sold_between=10:06:32.760~10:06:45.097;Max_Year_sold_between=10:06:32.760~10:06:45.097;Pro_Month_sold_between=10:02:12.871~10:02:28.868;Pro_Quarter_sold_between=10:01:45.121~10:02:28.868;Pro_Year_sold_between=10:02:21.948~10:02:28.868;page_attempts=340;page_batches=158;page_source=authenticated_page;first_page_success=10:00:32.101"
2026-06-01,09:59:50,11:00:03,https://bigmodel.cn/glm-coding,10:04:10.867,10:04:10.867,10:04:10.867,10:04:10.867,10:04:10.867,10:04:10.867,10:06:32.808,10:06:32.808,10:06:32.808,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,"page_prewarmed;parallel_duration_pages;page_async_poller;api_busy;authenticated_page_status;page_quarter_error:Locator.click: Timeout 10000ms exceeded. Call log: - waiting for locator("".switch-tab-item"").filter(;page_year_error:Locator.click: Timeout 10000ms exceeded. Call log: - waiting for locator("".switch-tab-item"").filter(;page_month_error:Locator.click: Timeout 10000ms exceeded. Call log: - waiting for locator("".switch-tab-item"").filter(;api_attempts=2163;api_busy_count=1349;first_api_busy=10:00:17.866;first_api_success=10:04:10.867;api_poll_interval=0.5s;Lite_Month_sold_between=10:03:55.320~10:04:10.867;Lite_Quarter_sold_between=10:02:03.169~10:04:10.867;Lite_Year_sold_between=10:01:51.117~10:04:10.867;Max_Month_sold_between=10:05:59.543~10:06:32.808;Max_Quarter_sold_between=10:05:57.024~10:06:32.808;Max_Year_sold_between=10:05:57.024~10:06:32.808;Pro_Month_sold_between=10:03:55.320~10:04:10.867;Pro_Quarter_sold_between=10:02:03.169~10:04:10.867;Pro_Year_sold_between=10:01:51.117~10:04:10.867;page_attempts=235;page_batches=71;page_source=authenticated_page;first_page_success=10:00:27.672"
2026-06-02,09:59:50,11:00:11,https://bigmodel.cn/glm-coding,10:02:22.929,10:02:22.929,10:02:22.929,10:03:07.816,10:03:07.816,10:03:07.816,10:07:22.932,10:07:22.932,10:07:22.932,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,"page_prewarm_error:Locator.click: Timeout 10000ms exceeded. Call log: - waiting for locator("".switch-tab-item"").filter(has_text=""连续包年"").fir;parallel_duration_pages;page_async_poller;api_busy;authenticated_page_status;page_month_error:Locator.click: Timeout 10000ms exceeded. Call log: - waiting for locator("".switch-tab-item"").filter(;page_quarter_error:Locator.click: Timeout 10000ms exceeded. Call log: - waiting for locator("".switch-tab-item"").filter(;page_year_error:Locator.click: Timeout 10000ms exceeded. Call log: - waiting for locator("".switch-tab-item"").filter(;api_attempts=2149;api_busy_count=1353;first_api_busy=10:00:19.718;first_api_success=10:02:22.929;api_poll_interval=0.5s;Lite_Month_sold_between=10:01:57.463~10:02:22.929;Lite_Quarter_sold_between=10:01:57.463~10:02:22.929;Lite_Year_sold_between=10:01:28.281~10:02:22.929;Max_Month_sold_between=10:06:59.436~10:07:22.932;Max_Quarter_sold_between=10:07:06.474~10:07:22.932;Max_Year_sold_between=10:07:14.555~10:07:22.932;Pro_Month_sold_between=10:02:22.929~10:03:07.816;Pro_Quarter_sold_between=10:02:22.929~10:03:07.816;Pro_Year_sold_between=10:03:01.953~10:03:07.816;page_attempts=304;page_batches=121;page_source=authenticated_page;first_page_success=10:00:38.878"
2026-06-03,09:59:50,11:00:08,https://bigmodel.cn/glm-coding,10:01:38.699,10:01:38.699,10:01:38.699,10:02:34.886,10:02:34.886,10:02:34.886,10:05:58.057,10:05:58.057,10:05:58.057,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,"page_prewarmed;parallel_duration_pages;page_async_poller;api_busy;authenticated_page_status;page_quarter_error:Locator.click: Timeout 10000ms exceeded. Call log: - waiting for locator("".switch-tab-item"").filter(;page_year_error:Locator.click: Timeout 10000ms exceeded. Call log: - waiting for locator("".switch-tab-item"").filter(;api_attempts=2219;api_busy_count=1424;first_api_busy=10:00:14.141;first_api_success=10:01:38.699;api_poll_interval=0.5s;Lite_Month_sold_between=10:00:49.841~10:01:38.699;Lite_Quarter_sold_between=10:01:26.407~10:01:38.699;Lite_Year_sold_between=10:01:02.948~10:01:38.699;Max_Month_sold_between=10:05:26.428~10:05:58.057;Max_Quarter_sold_between=10:05:45.482~10:05:58.057;Max_Year_sold_between=10:05:33.228~10:05:58.057;Pro_Month_sold_between=10:02:05.570~10:02:34.886;Pro_Quarter_sold_between=10:01:59.091~10:02:34.886;Pro_Year_sold_between=10:02:19.513~10:02:34.886;page_attempts=249;page_batches=101;page_source=authenticated_page;first_page_success=10:00:22.894"
2026-06-04,09:59:50,11:00:17,https://bigmodel.cn/glm-coding,10:01:14.390,10:01:14.390,10:01:14.390,10:05:01.039,10:05:01.039,10:05:01.039,10:06:36.183,10:06:36.183,10:06:36.183,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,"page_prewarmed;parallel_duration_pages;page_async_poller;api_busy;authenticated_page_status;page_quarter_error:Locator.click: Timeout 10000ms exceeded. Call log: - waiting for locator("".switch-tab-item"").filter(;api_attempts=2395;api_busy_count=1713;first_api_busy=10:00:07.017;first_api_success=10:01:14.390;api_poll_interval=0.5s;Lite_Month_sold_between=10:01:09.062~10:01:14.390;Lite_Quarter_sold_between=10:00:58.786~10:01:14.390;Lite_Year_sold_between=10:01:03.951~10:01:14.390;Max_Month_sold_between=10:06:23.823~10:06:36.183;Max_Quarter_sold_between=10:06:24.169~10:06:36.183;Max_Year_sold_between=10:06:24.169~10:06:36.183;Pro_Month_sold_between=10:04:31.334~10:05:01.039;Pro_Quarter_sold_between=10:04:08.657~10:05:01.039;Pro_Year_sold_between=10:04:49.965~10:05:01.039;page_attempts=365;page_batches=250;page_source=authenticated_page;first_page_success=10:00:15.939"
2026-06-05,09:59:50,11:00:05,https://bigmodel.cn/glm-coding,10:03:03.453,10:03:03.453,10:03:03.453,10:04:03.435,10:04:03.435,10:04:03.435,10:06:21.168,10:06:21.168,10:06:21.168,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,"page_prewarmed;parallel_duration_pages;page_async_poller;api_busy;authenticated_page_status;page_quarter_error:Locator.click: Timeout 10000ms exceeded. Call log: - waiting for locator("".switch-tab-item"").filter(;page_month_error:Locator.click: Timeout 10000ms exceeded. Call log: - waiting for locator("".switch-tab-item"").filter(;page_year_error:Locator.click: Timeout 10000ms exceeded. Call log: - waiting for locator("".switch-tab-item"").filter(;api_error:The read operation timed out;api_attempts=2074;api_busy_count=1333;api_error_count=1;first_api_busy=10:00:20.992;first_api_success=10:01:39.795;api_poll_interval=0.5s;Lite_Month_sold_between=10:02:27.110~10:03:03.453;Lite_Quarter_sold_between=10:01:39.795~10:03:03.453;Lite_Year_sold_between=10:01:39.795~10:03:03.453;Max_Month_sold_between=10:05:46.258~10:06:21.168;Max_Quarter_sold_between=10:05:46.258~10:06:21.168;Max_Year_sold_between=10:05:46.258~10:06:21.168;Pro_Month_sold_between=10:03:25.676~10:04:03.435;Pro_Quarter_sold_between=10:03:25.786~10:04:03.435;Pro_Year_sold_between=10:03:25.676~10:04:03.435;page_attempts=351;page_batches=75;page_source=authenticated_page;first_page_success=10:00:39.540"
2026-06-06,09:59:50,11:00:04,https://bigmodel.cn/glm-coding,10:02:48.513,10:02:34.439,10:02:48.513,10:02:48.513,10:02:34.439,10:02:48.513,10:07:15.721,10:07:15.721,10:07:15.721,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,sold_out,"page_prewarmed;parallel_duration_pages;page_async_poller;api_busy;authenticated_page_status;page_quarter_error:Locator.click: Timeout 10000ms exceeded. Call log: - waiting for locator("".switch-tab-item"").filter(;page_month_error:Locator.click: Timeout 10000ms exceeded. Call log: - waiting for locator("".switch-tab-item"").filter(;page_year_error:Locator.click: Timeout 10000ms exceeded. Call log: - waiting for locator("".switch-tab-item"").filter(;api_attempts=2112;api_busy_count=1326;first_api_busy=10:00:18.382;first_api_success=10:00:37.550;api_poll_interval=0.5s;Lite_Month_sold_between=10:01:48.216~10:02:48.513;Lite_Quarter_sold_between=10:01:48.216~10:02:34.439;Lite_Year_sold_between=10:01:50.522~10:02:48.513;Max_Month_sold_between=10:06:50.225~10:07:15.721;Max_Quarter_sold_between=10:06:49.534~10:07:15.721;Max_Year_sold_between=10:06:50.225~10:07:15.721;Pro_Month_sold_between=10:01:48.216~10:02:48.513;Pro_Quarter_sold_between=10:01:48.216~10:02:34.439;Pro_Year_sold_between=10:01:50.522~10:02:48.513;page_attempts=367;page_batches=99;page_source=authenticated_page;first_page_success=10:00:44.694"
