Model,Start_Date,T+0,T+1,T+2,T+3,T+4,T+5,T+6,T+7,T+10,T+14,T+30,T+60
anthropic/claude-opus-4.5,2025-11-24,1.559,18.229,23.913,19.673,17.183,14.702,17.258,24.011,31.909,36.8,32.337,47.328
deepseek/deepseek-v3.2,2025-12-01,2.048,6.617,8.635,10.99,11.469,12.767,13.011,15.733,15.264,21.454,42.928,63.751
deepseek/deepseek-v3.2-speciale,2025-12-01,0.27,1.509,2.871,2.5,1.288,2.081,1.524,0.577,0.783,0.491,0.206,0.213
google/gemini-3-flash-preview,2025-12-17,4.565,22.141,27.936,23.923,34.175,46.042,32.14,31.87,31.176,38.506,66.455,
google/gemini-3-pro-image-preview,2025-11-20,0.023,0.481,0.301,0.22,0.578,0.813,0.835,0.958,0.698,0.452,0.371,0.83
google/gemini-3-pro-preview,2025-11-18,9.671,30.79,34.501,32.487,21.942,21.632,32.024,25.834,19.277,22.267,24.673,32.669
minimax/minimax-m2-her,2026-01-23,0.035,0.058,0.058,0.074,0.067,0.118,0.196,0.301,0.301,,,
minimax/minimax-m2.1,2025-12-23,2.845,6.53,6.427,5.614,4.474,6.194,6.998,9.458,10.491,19.546,12.839,
moonshotai/kimi-k2-thinking,2025-11-06,4.793,4.243,5.673,5.653,6.298,4.178,6.507,4.025,4.615,3.055,1.847,2.05
moonshotai/kimi-k2.5,2026-01-27,6.203,21.489,24.345,20.401,25.63,27.096,22.261,21.037,8.205,,,
openai/gpt-5.1,2025-11-13,0.371,4.14,4.96,4.715,4.937,6.179,6.769,6.523,4.493,6.255,3.639,2.637
openai/gpt-5.1-codex,2025-11-13,0.278,2.386,2.149,2.283,3.024,3.447,2.799,3.381,2.428,2.635,1.555,0.727
openai/gpt-5.2,2025-12-10,2.199,10.894,8.248,9.007,18.526,20.09,44.44,22.279,7.379,9.418,5.967,
openai/gpt-5.2-codex,2026-01-14,0.724,4.423,4.712,4.114,4.865,5.92,5.521,5.166,3.953,15.466,,
x-ai/grok-4.1-fast,2025-11-19,0.032,86.472,95.657,92.535,115.126,105.894,97.215,2.719,16.43,21.523,32.094,37.047
z-ai/glm-4.6v,2025-12-08,0.041,0.176,0.305,0.402,0.576,0.24,0.178,0.449,0.704,0.277,0.258,0.017
z-ai/glm-4.7,2025-12-22,0.661,10.021,13.603,11.759,14.879,17.325,12.689,13.842,14.521,22.143,15.371,
z-ai/glm-4.7-flash,2026-01-19,0.117,0.347,0.322,0.771,0.299,0.273,0.465,0.558,1.434,1.517,,
