Date,Model,Category,ELO_Score
2025-05-22,gemini-2.5-pro-exp-03-25,chinese,1487.27
2025-05-22,gemini-2.5-flash-preview-05-20,chinese,1485.57
2025-05-22,llama-4-maverick-03-26-experimental,chinese,1476.75
2025-05-22,o3-2025-04-16,chinese,1455.92
2025-05-22,gemini-2.5-pro-preview-05-06,chinese,1446.0
2025-05-22,early-grok-3,chinese,1438.61
2025-05-22,chatgpt-4o-latest-20250326,chinese,1436.52
2025-05-22,grok-3-preview-02-24,chinese,1432.68
2025-05-22,gemini-2.0-flash-thinking-exp-01-21,chinese,1431.24
2025-05-22,gemini-2.5-flash-preview-04-17,chinese,1421.35
2025-05-22,hunyuan-turbos-20250416,chinese,1416.43
2025-05-22,gpt-4.5-preview-2025-02-27,chinese,1416.05
2025-05-22,chatgpt-4o-latest-20250129,chinese,1415.82
2025-05-22,gemini-exp-1206,chinese,1405.21
2025-05-22,deepseek-v3-0324,chinese,1393.65
2025-05-22,deepseek-r1,chinese,1391.9
2025-05-22,gemini-2.0-pro-exp-02-05,chinese,1389.56
2025-05-22,o1-2024-12-17,chinese,1389.47
2025-05-22,gemini-exp-1114,chinese,1389.29
2025-05-22,gemini-2.0-flash-thinking-exp-1219,chinese,1387.65
2025-05-22,gemini-2.0-flash-001,chinese,1385.58
2025-05-22,chatgpt-4o-latest-20241120,chinese,1382.61
2025-05-22,glm-4-plus-0111,chinese,1382.42
2025-05-22,gemini-2.0-flash-exp,chinese,1382.34
2025-05-22,gemini-exp-1121,chinese,1382.32
2025-05-22,gpt-4.1-2025-04-14,chinese,1380.84
2025-05-22,qwen2.5-max,chinese,1375.78
2025-05-22,mistral-medium-2505,chinese,1374.62
2025-05-22,qwq-32b,chinese,1369.12
2025-05-22,qwen3-235b-a22b,chinese,1365.14
2025-05-22,o3-mini-high,chinese,1364.04
2025-05-22,qwen3-32b,chinese,1362.56
2025-05-22,chatgpt-4o-latest-20240903,chinese,1361.08
2025-05-22,gemma-3-27b-it,chinese,1356.43
2025-05-22,hunyuan-turbo-0110,chinese,1350.61
2025-05-22,qwen3-30b-a3b,chinese,1348.18
2025-05-22,qwen-plus-0125,chinese,1345.59
2025-05-22,o4-mini-2025-04-16,chinese,1344.36
2025-05-22,llama-3.1-nemotron-ultra-253b-v1,chinese,1343.26
2025-05-22,hunyuan-large-2025-02-10,chinese,1340.37
2025-05-22,gemini-2.0-flash-lite-preview-02-05,chinese,1337.06
2025-05-22,deepseek-v3,chinese,1335.29
2025-05-22,o3-mini,chinese,1332.14
2025-05-22,gemma-3-12b-it,chinese,1327.42
2025-05-22,gemini-1.5-pro-002,chinese,1326.69
2025-05-22,gpt-4.1-mini-2025-04-14,chinese,1326.44
2025-05-22,gemini-1.5-pro-exp-0827,chinese,1323.9
2025-05-22,o1-preview,chinese,1320.41
2025-05-22,step-2-16k-exp-202412,chinese,1318.49
