Date,Rank,App_ID,App_Title,App_Slug,Origin_URL,Categories,Total_Tokens,Total_Requests,Created_At
2026-05-05,1,2725608,OpenClaw,openclaw,https://openclaw.ai/,personal-agent;cli-agent,10761093497503,198187257,2026-01-30T06:12:11.182424+00:00
2026-05-05,2,2262242,Kilo Code,kilo-code,https://kilocode.ai/,cli-agent;ide-extension,5540501386192,99669151,2025-04-09T15:16:20.620982+00:00
2026-05-05,4,3067167,Hermes Agent,hermes-agent,https://hermes-agent.nousresearch.com/,personal-agent;cli-agent,5825306215369,111247217,2026-03-12T23:26:33.624507+00:00
2026-05-05,5,2627404,Claude Code,claude-code,https://claude.ai/,cli-agent,3624834879489,48199994,2025-12-23T22:23:47.378376+00:00
2026-05-05,8,2308106,Descript,descript,https://descript.com/,video-gen,1232738122764,24135293,2025-06-12T21:59:45.208433+00:00
2026-05-05,9,2699842,ISEKAI ZERO,isekai-zero,https://www.isekai.world/,game,844573951632,46916193,2026-01-21T19:15:22.288086+00:00
2026-05-05,10,169155,Janitor AI,janitor-ai,https://janitorai.com/,roleplay,755873244814,61946653,2023-12-09T18:30:01.148462+00:00
2026-05-05,12,190604,Cline,cline,https://cline.bot/,ide-extension;cli-agent,696468044851,8761066,2024-10-09T07:53:24.932909+00:00
2026-05-05,14,831074,Roo Code,roo-code,https://github.com/RooVetGit/Roo-Cline,ide-extension;cloud-agent,518244021760,6559344,2024-12-09T15:49:26.866145+00:00
2026-05-05,15,2637375,Lemonade,lemonade,https://lemonade.gg/,programming-app,463579967656,15237766,2025-12-28T17:23:36.463907+00:00
2026-05-05,17,2524738,LangChain,langchain,https://docs.langchain.com/,,307774985597,15446746,2025-11-07T08:17:49.811088+00:00
2026-05-05,18,2853275,pi,pi,https://pi.dev/,cli-agent,306357814959,5267563,2026-02-15T08:18:07.110036+00:00
2026-05-05,19,142576,SillyTavern,sillytavern,https://sillytavern.app/,roleplay,223052409085,13838393,2023-07-21T00:27:58.324546+00:00
2026-05-05,20,2235067,HammerAI,hammerai,https://www.hammerai.com/,roleplay,185999009184,52674004,2025-03-04T06:20:28.828891+00:00
2026-05-05,21,2511276,VidMuse,vidmuse,https://vidmuse.ai/,video-gen,180481930493,4967363,2025-10-31T03:48:14.023302+00:00
2026-05-05,23,2293498,Agent Zero,agent-zero,https://agent-zero.ai/,cloud-agent,146643290959,7595767,2025-05-26T15:44:33.173332+00:00
2026-05-05,24,3296290,Mira is the leading AI agent inside Telegram,mira,https://mira.tg/,personal-agent,145237939475,6109085,2026-04-13T16:32:50.486647+00:00
2026-05-05,25,189563,OpenHands,openhands,https://docs.all-hands.dev/,cli-agent,139317750982,3788761,2024-09-24T08:02:50.387904+00:00
2026-05-05,26,3178860,Ito,ito,https://www.ito.ai/,cloud-agent,137553331574,2984495,2026-03-27T21:32:26.794618+00:00
2026-05-05,27,188881,Chub AI,chub-ai,https://chub.ai/,roleplay,129235501395,10259194,2024-09-15T10:33:45.374272+00:00
2026-05-05,29,184102,Open WebUI,open-webui,https://openwebui.com/,general-chat,122692324642,5953380,2024-07-28T14:31:04.263164+00:00
2026-05-05,33,2400879,Sophia's LoreBary,,https://lorebary.com/,roleplay,106805210302,6343687,2025-08-27T18:05:00.576888+00:00
2026-05-05,34,2938662,Nous Research API,nous-research-api,https://api.nousresearch.com/,general-chat,100539407349,4648793,2026-02-26T06:16:33.177044+00:00
2026-05-05,36,2271484,wsup.ai - Chat with AI Characters Online for Free,,https://wsup.ai/,roleplay,95249909404,65425636,2025-04-22T04:17:07.639255+00:00
2026-05-05,37,2479028,ThetaWave,,https://thetawave.ai/,,92722973074,11662343,2025-10-10T16:32:10.925569+00:00
2026-05-05,38,2299688,GDevelop,gdevelop,https://gdevelop.io/,native-app-builder,83837177419,2611103,2025-06-02T19:10:22.857056+00:00
2026-05-05,39,2284381,Gobii,gobii,https://gobii.ai/,personal-agent,83639925338,1809473,2025-05-13T20:00:16.868087+00:00
2026-05-05,40,2267189,Zed Editor,zed-editor,https://zed.dev/,programming-app,81220626854,1319097,2025-04-14T21:46:55.535895+00:00
2026-05-05,41,2354934,Qwen Code,qwen-code,https://github.com/QwenLM/qwen-code.git,cli-agent,78619240188,1209159,2025-07-31T12:54:16.344765+00:00
2026-05-05,42,2235775,shapes inc,,https://shapes.inc/,roleplay;game,74639732023,15631777,2025-03-05T19:19:02.337877+00:00
2026-05-05,44,169295,Portkey AI,portkey-ai,https://portkey.ai/,programming-app,61462994753,5905831,2023-12-18T09:15:55.739121+00:00
2026-05-05,46,2583849,Vectoron Content Pipeline,,https://vectoron.ai/,writing-assistant,58497680778,19689339,2025-12-05T22:23:46.720314+00:00
2026-05-05,47,2338620,BuddyPro AI,,https://buddypro.ai/,personal-agent,57032963429,5057252,2025-07-16T08:41:34.86002+00:00
2026-05-05,48,174617,ppq.ai,,https://ppq.ai/,,55629346108,1864768,2024-04-05T16:50:04.386513+00:00
2026-05-05,49,3224069,VoyagerToken,,https://www.voyager.com/,,53184791628,3538205,2026-04-03T07:54:13.712766+00:00
2026-05-05,51,3097485,Studs.gg,studsgg,https://studs.gg/,cloud-agent;game,52706590570,1903497,2026-03-17T00:17:31.840506+00:00
2026-05-05,53,2469970,OP.GG Agent Imagine NanoBanana2,,https://op.gg/,,47435512785,3340107,2025-10-04T13:54:49.338365+00:00
2026-05-05,54,191435,Galaxy.ai,,https://galaxy.ai/,general-chat,47074670604,1440620,2024-10-21T11:34:10.09302+00:00
2026-05-05,55,2374769,SquadStack AI,,https://squadstack.com/,,46548074252,9093108,2025-08-14T06:57:54.102949+00:00
2026-05-05,58,3350625,extra.email,extra-email,https://extra.email/,writing-assistant;personal-agent,44467141694,13622187,2026-04-21T05:23:57.927001+00:00
2026-05-05,60,2464416,JobLeads LLM,,https://jobleads.com/,personal-agent,40735389207,9689493,2025-09-30T14:37:55.790424+00:00
2026-05-05,61,2225616,Dify.AI,,https://dify.ai/,personal-agent,40522732395,18403663,2025-02-05T10:54:07.807995+00:00
2026-05-05,62,2735766,nanobot,nanobot,https://github.com/HKUDS/nanobot,personal-agent,40165291304,1834386,2026-02-02T12:56:05.165411+00:00
2026-05-05,66,2622911,Endpoint Proxy,,https://endpoint-proxy.local/,,38690590956,1122485,2025-12-22T03:50:31.85787+00:00
2026-05-05,67,2344758,Stanley,stan,https://stan.store/,,38547107501,1413057,2025-07-22T19:28:05.10164+00:00
2026-05-05,68,2236657,Goose,goose,https://block.github.io/goose,cli-agent,37986035688,1883968,2025-03-07T16:18:07.632346+00:00
2026-05-05,69,2899001,call-analytics,,https://call-analytics-preprod-fe.kcs-prod-krutrim-0.corp.olakrutrim.com/,,35733228722,1920741,2026-02-21T11:00:08.372722+00:00
2026-05-05,70,3174647,Nexu Link,nexu-link,https://nexu.io/,personal-agent,34640970010,715795,2026-03-27T11:19:02.612333+00:00
2026-05-05,71,3213374,ClodHost,,https://clodhost.com/,,34511071232,646835,2026-04-02T06:56:44.791461+00:00
2026-05-05,72,2666330,Nebula,,https://api.nebula.gg/,,34026509455,847498,2026-01-09T09:02:26.871625+00:00
2026-05-05,73,190307,KoalaBear,,https://i.love.koalas.ai/,,33015186220,12229402,2024-10-04T20:49:39.521904+00:00
2026-05-05,74,2517951,Chalkie,,https://api.chalkie.ai/,,32417584004,32789688,2025-11-03T16:26:36.736735+00:00
2026-05-05,76,3328489,ISEKAI ZERO,,https://www.isekaizero.ai/,,30910594699,1617628,2026-04-17T19:04:10.144796+00:00
2026-05-05,77,2605040,claude-mem,,https://github.com/thedotmack/claude-mem,,30198024401,1668883,2025-12-14T17:10:50.180808+00:00
2026-05-05,78,181596,Continue,,https://www.continue.dev/,,29291035600,674120,2024-06-26T19:23:15.154551+00:00
2026-05-05,79,2986188,Factory AI Droid,,https://factory.ai/,,29113758171,368561,2026-03-03T18:06:14.292407+00:00
2026-05-05,81,2275362,SkyrimNet,,https://github.com/SkyrimNet,game,28142396222,7575513,2025-04-29T05:51:25.550096+00:00
2026-05-05,82,2794785,GPT Workspace,,https://gpt.space/,general-chat,27974264532,1577913,2026-02-09T14:51:04.676598+00:00
2026-05-05,83,701440,One API,,https://github.com/sentinel-service/ai-relay-server,,27339150035,8775680,2024-12-03T06:18:18.640792+00:00
2026-05-05,84,2336492,forge,,https://forgecode.dev/,,26880370782,425735,2025-07-13T20:10:33.516829+00:00
