Date,Category,Category_Label,Author,Tokens,Share_In_Category
2025-05-19,academia,Academia,anthropic,0.541759,0.03531158
2025-05-19,academia,Academia,google,8.851008,0.57690448
2025-05-19,academia,Academia,mistralai,0.975814,0.06360306
2025-05-19,academia,Academia,openai,1.65654,0.10797248
2025-05-19,academia,Academia,others,3.317122,0.21620839
2025-05-19,finance,Finance,anthropic,0.853069,0.10920192
2025-05-19,finance,Finance,deepseek,0.543515,0.06957567
2025-05-19,finance,Finance,google,1.07194,0.13721965
2025-05-19,finance,Finance,openai,2.301656,0.29463641
2025-05-19,finance,Finance,others,3.041672,0.38936636
2025-05-19,health,Health,anthropic,0.429442,0.04196805
2025-05-19,health,Health,cohere,0.781284,0.07635252
2025-05-19,health,Health,google,3.126496,0.30554309
2025-05-19,health,Health,meta-llama,1.072522,0.10481438
2025-05-19,health,Health,openai,1.412426,0.13803218
2025-05-19,health,Health,others,3.410416,0.33328979
2025-05-19,legal,Legal,cohere,0.233696,0.03285636
2025-05-19,legal,Legal,google,4.337182,0.60978261
2025-05-19,legal,Legal,openai,0.762789,0.10724373
2025-05-19,legal,Legal,others,1.579794,0.22210987
2025-05-19,legal,Legal,x-ai,0.199208,0.02800743
2025-05-19,marketing,Marketing,anthropic,0.229096,0.05212068
2025-05-19,marketing,Marketing,cohere,0.101954,0.02319518
2025-05-19,marketing,Marketing,google,2.183633,0.49678849
2025-05-19,marketing,Marketing,openai,1.320095,0.30032887
2025-05-19,marketing,Marketing,others,0.56072,0.12756677
2025-05-19,marketing/seo,SEO,anthropic,0.13392,0.1295607
2025-05-19,marketing/seo,SEO,cohere,0.030194,0.02921114
2025-05-19,marketing/seo,SEO,google,0.547484,0.52966216
2025-05-19,marketing/seo,SEO,openai,0.176803,0.17104798
2025-05-19,marketing/seo,SEO,others,0.145246,0.14051802
2025-05-19,programming,Programming,anthropic,48.952772,0.23592412
2025-05-19,programming,Programming,google,68.471769,0.32999442
2025-05-19,programming,Programming,openai,72.135488,0.34765143
2025-05-19,programming,Programming,others,17.933688,0.08643003
2025-05-19,roleplay,Roleplay,anthropic,33.045879,0.09611176
2025-05-19,roleplay,Roleplay,deepseek,79.733206,0.23189878
2025-05-19,roleplay,Roleplay,google,112.190457,0.32629856
2025-05-19,roleplay,Roleplay,gryphe,7.302013,0.02123743
2025-05-19,roleplay,Roleplay,mistralai,17.973972,0.05227611
2025-05-19,roleplay,Roleplay,nousresearch,6.617586,0.01924681
2025-05-19,roleplay,Roleplay,others,71.948069,0.20925622
2025-05-19,roleplay,Roleplay,qwen,7.037842,0.0204691
2025-05-19,roleplay,Roleplay,x-ai,7.978592,0.02320521
2025-05-19,science,Science,anthropic,2.260305,0.00253565
2025-05-19,science,Science,google,15.859854,0.01779184
2025-05-19,science,Science,openai,853.394569,0.95735181
2025-05-19,science,Science,others,10.527502,0.01180992
2025-05-19,science,Science,x-ai,9.369428,0.01051078
2025-05-19,technology,Technology,anthropic,6.9656,0.01802193
2025-05-19,technology,Technology,google,14.869516,0.03847154
2025-05-19,technology,Technology,openai,347.825582,0.89992068
2025-05-19,technology,Technology,others,13.920546,0.03601629
2025-05-19,technology,Technology,x-ai,2.925689,0.00756956
2025-05-19,translation,Translation,google,121.964054,0.91661871
2025-05-19,translation,Translation,openai,6.825024,0.05129335
2025-05-19,translation,Translation,others,4.269578,0.03208794
2025-05-19,trivia,Trivia,anthropic,0.213374,0.02422506
2025-05-19,trivia,Trivia,google,4.362543,0.49529483
2025-05-19,trivia,Trivia,meta-llama,0.089431,0.01015344
2025-05-19,trivia,Trivia,mistralai,0.513436,0.05829215
2025-05-19,trivia,Trivia,others,0.700443,0.07952374
2025-05-19,trivia,Trivia,qwen,2.571446,0.29194536
2025-05-19,trivia,Trivia,x-ai,0.357299,0.04056544
2025-05-26,academia,Academia,anthropic,5.013163,0.07742753
2025-05-26,academia,Academia,google,38.937927,0.60139028
2025-05-26,academia,Academia,meta-llama,1.986251,0.03067734
2025-05-26,academia,Academia,openai,5.581736,0.08620905
2025-05-26,academia,Academia,others,13.227442,0.2042958
2025-05-26,finance,Finance,anthropic,6.506708,0.11145403
2025-05-26,finance,Finance,google,21.896803,0.37507248
2025-05-26,finance,Finance,meta-llama,4.246403,0.07273705
2025-05-26,finance,Finance,openai,3.378952,0.05787839
2025-05-26,finance,Finance,others,18.159341,0.31105313
2025-05-26,finance,Finance,qwen,4.191985,0.07180492
2025-05-26,health,Health,deepseek,1.278206,0.03873078
2025-05-26,health,Health,google,10.247801,0.31051758
2025-05-26,health,Health,meta-llama,1.550804,0.04699077
2025-05-26,health,Health,openai,5.163398,0.15645558
2025-05-26,health,Health,others,14.762114,0.4473053
2025-05-26,legal,Legal,deepseek,1.869921,0.10038421
2025-05-26,legal,Legal,google,8.773277,0.47098169
2025-05-26,legal,Legal,meta-llama,0.958868,0.05147553
2025-05-26,legal,Legal,openai,2.032849,0.1091308
2025-05-26,legal,Legal,others,4.992725,0.26802778
2025-05-26,marketing,Marketing,anthropic,0.779099,0.04145376
2025-05-26,marketing,Marketing,google,9.414851,0.50093875
2025-05-26,marketing,Marketing,meta-llama,1.103871,0.05873398
2025-05-26,marketing,Marketing,openai,3.58716,0.19086307
2025-05-26,marketing,Marketing,others,3.909435,0.20801044
2025-05-26,marketing/seo,SEO,anthropic,0.287139,0.08030731
2025-05-26,marketing/seo,SEO,google,1.663456,0.46523663
2025-05-26,marketing/seo,SEO,meta-llama,0.287504,0.08040934
2025-05-26,marketing/seo,SEO,openai,0.396317,0.11084218
2025-05-26,marketing/seo,SEO,others,0.941089,0.26320454
2025-05-26,programming,Programming,anthropic,384.514853,0.50136372
2025-05-26,programming,Programming,google,230.545496,0.30060515
2025-05-26,programming,Programming,openai,76.593002,0.09986858
2025-05-26,programming,Programming,others,75.284581,0.09816255
2025-05-26,roleplay,Roleplay,anthropic,59.011396,0.1004088
2025-05-26,roleplay,Roleplay,deepseek,124.549828,0.21192346
2025-05-26,roleplay,Roleplay,google,186.869338,0.31796107
2025-05-26,roleplay,Roleplay,mistralai,41.592825,0.07077083
2025-05-26,roleplay,Roleplay,others,175.687992,0.29893583
2025-05-26,science,Science,anthropic,7.570159,0.00761465
2025-05-26,science,Science,google,66.108481,0.06649698
2025-05-26,science,Science,meta-llama,9.69634,0.00975332
2025-05-26,science,Science,openai,849.283639,0.85427464
2025-05-26,science,Science,others,61.498999,0.06186041
2025-05-26,technology,Technology,anthropic,71.060568,0.12420469
2025-05-26,technology,Technology,google,59.600978,0.10417481
2025-05-26,technology,Technology,meta-llama,9.71835,0.01698642
2025-05-26,technology,Technology,openai,368.884241,0.64476199
2025-05-26,technology,Technology,others,62.860537,0.1098721
2025-05-26,translation,Translation,anthropic,3.663413,0.02340928
