Date,Author,Tokens,Share
2025-04-20,anthropic,53.35917,0.22905976
2025-04-20,deepseek,31.742936,0.13626579
2025-04-20,google,90.386147,0.38800883
2025-04-20,meta-llama,21.720564,0.09324184
2025-04-20,microsoft,2.011354,0.00863432
2025-04-20,mistralai,7.379196,0.03167734
2025-04-20,nousresearch,1.521544,0.00653167
2025-04-20,openai,12.974627,0.05569736
2025-04-20,others,6.950579,0.02983738
2025-04-20,qwen,4.902571,0.02104571
2025-04-27,anthropic,375.693408,0.24348299
2025-04-27,deepseek,205.034228,0.13288055
2025-04-27,google,570.590086,0.36979351
2025-04-27,meta-llama,100.035793,0.06483216
2025-04-27,microsoft,13.260974,0.0085943
2025-04-27,mistralai,45.897791,0.02974588
2025-04-27,openai,139.638201,0.09049807
2025-04-27,others,40.960934,0.02654636
2025-04-27,qwen,41.147665,0.02666737
2025-04-27,x-ai,10.737424,0.00695881
2025-05-04,anthropic,422.166658,0.20090135
2025-05-04,deepseek,252.013497,0.11992859
2025-05-04,google,730.893001,0.34781854
2025-05-04,meta-llama,105.870074,0.05038162
2025-05-04,microsoft,13.619737,0.00648138
2025-05-04,mistralai,52.789154,0.02512139
2025-05-04,openai,403.220247,0.1918851
2025-05-04,others,46.722241,0.02223426
2025-05-04,qwen,61.241604,0.02914375
2025-05-04,x-ai,12.826772,0.00610403
2025-05-05,anthropic,416.410093,0.19549649
2025-05-05,deepseek,251.993245,0.11830596
2025-05-05,google,753.987144,0.3539824
2025-05-05,meta-llama,110.992342,0.05210876
2025-05-05,microsoft,13.40383,0.00629284
2025-05-05,mistralai,52.073692,0.02444759
2025-05-05,openai,410.762848,0.19284522
2025-05-05,others,46.586459,0.02187144
2025-05-05,qwen,61.146303,0.02870701
2025-05-05,x-ai,12.657141,0.00594228
2025-05-11,anthropic,424.264315,0.19509691
2025-05-11,deepseek,228.479657,0.10506581
2025-05-11,google,719.951837,0.3310681
2025-05-11,meta-llama,79.008621,0.03633192
2025-05-11,microsoft,14.337186,0.00659292
2025-05-11,mistralai,49.128661,0.0225917
2025-05-11,openai,536.422526,0.24667259
2025-05-11,others,46.397544,0.0213358
2025-05-11,qwen,59.54838,0.02738318
2025-05-11,x-ai,17.094933,0.00786106
2025-05-12,anthropic,428.587769,0.19885643
2025-05-12,deepseek,229.311387,0.10639605
2025-05-12,google,694.797967,0.32237282
2025-05-12,meta-llama,70.95601,0.03292222
2025-05-12,microsoft,14.586299,0.00676776
2025-05-12,mistralai,49.115331,0.02278856
2025-05-12,openai,542.765744,0.25183281
2025-05-12,others,46.513722,0.02158147
2025-05-12,qwen,59.785413,0.02773928
2025-05-12,x-ai,18.842624,0.00874261
2025-05-18,anthropic,508.55587,0.21957101
2025-05-18,deepseek,244.496426,0.1055623
2025-05-18,google,727.125029,0.31393911
2025-05-18,meta-llama,67.541522,0.02916132
2025-05-18,microsoft,13.349395,0.00576365
2025-05-18,mistralai,57.863122,0.02498263
2025-05-18,openai,572.426811,0.24714754
2025-05-18,others,46.96586,0.0202777
2025-05-18,qwen,56.766381,0.02450911
2025-05-18,x-ai,21.043561,0.00908564
2025-05-19,anthropic,532.850604,0.22502402
2025-05-19,deepseek,246.38754,0.10405002
2025-05-19,google,740.531822,0.31272827
2025-05-19,meta-llama,67.631709,0.02856102
2025-05-19,microsoft,12.659794,0.00534626
2025-05-19,mistralai,59.824996,0.02526423
2025-05-19,openai,587.454802,0.2480835
2025-05-19,others,47.174932,0.01992208
2025-05-19,qwen,53.467916,0.02257962
2025-05-19,x-ai,19.988012,0.00844098
2025-05-25,anthropic,571.408759,0.22639371
2025-05-25,deepseek,285.20174,0.11299771
2025-05-25,google,807.792498,0.3200496
2025-05-25,meta-llama,88.552706,0.03508482
2025-05-25,microsoft,11.091468,0.00439447
2025-05-25,mistralai,62.55263,0.02478352
2025-05-25,openai,599.133676,0.2373784
2025-05-25,others,47.620149,0.01886723
2025-05-25,qwen,38.002032,0.01505651
2025-05-25,x-ai,12.604716,0.00499402
2025-05-26,anthropic,549.395316,0.21992443
2025-05-26,deepseek,293.308775,0.1174123
2025-05-26,google,803.218193,0.32153042
2025-05-26,meta-llama,90.934097,0.03640116
2025-05-26,microsoft,11.149972,0.00446336
